age,cfr,qol,mu
16,0.012,0.94,0.00017245
17,0.012,0.94,0.00020885
18,0.012,0.94,0.0002475
19,0.012,0.94,0.0002857
20,0.012,0.94,0.00031545
21,0.012,0.94,0.00033165
22,0.012,0.94,0.00033735
23,0.012,0.94,0.000338
24,0.012,0.94,0.00034005
25,0.012,0.93,0.0003472
26,0.012,0.93,0.00036425
27,0.012,0.93,0.00038875
28,0.012,0.93,0.0004202
29,0.012,0.93,0.00045625
30,0.012,0.93,0.0004973
31,0.012,0.93,0.00053865
32,0.012,0.93,0.00058085
33,0.012,0.93,0.00062595
34,0.012,0.93,0.00067625
35,0.012,0.91,0.0005367
36,0.012,0.91,0.000589
37,0.012,0.91,0.0006489
38,0.012,0.91,0.0007146
39,0.012,0.91,0.0007841
40,0.012,0.91,0.0008548
41,0.012,0.91,0.000925
42,0.012,0.91,0.0009942
43,0.012,0.91,0.0010668
44,0.012,0.91,0.0011468
45,0.048,0.85,0.0012356
46,0.048,0.85,0.0013393
47,0.048,0.85,0.0014601
48,0.048,0.85,0.0015998
49,0.048,0.85,0.0017623
50,0.048,0.85,0.0019448
51,0.048,0.85,0.0021427
52,0.048,0.85,0.0023622
53,0.048,0.85,0.0026086
54,0.048,0.85,0.0028755
55,0.048,0.8,0.0031613
56,0.048,0.8,0.0034705
57,0.048,0.8,0.0037993
58,0.048,0.8,0.0041375
59,0.048,0.8,0.0044949
60,0.048,0.8,0.0048777
61,0.048,0.8,0.0052858
62,0.048,0.8,0.0057275
63,0.048,0.8,0.0062077
64,0.048,0.8,0.0067363
65,0.176,0.78,0.0073266
66,0.176,0.78,0.0079976
67,0.176,0.78,0.0087641
68,0.176,0.78,0.0096425
69,0.176,0.78,0.0106442
70,0.176,0.78,0.0117788
71,0.176,0.78,0.013049
72,0.176,0.78,0.014459
73,0.176,0.78,0.0160172
74,0.176,0.78,0.017763
75,0.176,0.73,0.0197562
76,0.176,0.73,0.0220002
77,0.176,0.73,0.0246049
78,0.176,0.73,0.0275676
79,0.176,0.73,0.0310126
80,0.176,0.73,0.0350175
81,0.176,0.73,0.0396559
82,0.176,0.73,0.0450012
83,0.176,0.73,0.0511363
84,0.176,0.73,0.0581844
85,0.176,0.73,0.0661499
86,0.176,0.73,0.0750674
87,0.176,0.73,0.0750674
88,0.176,0.73,0.0750674
89,0.176,0.73,0.0750674
90,0.176,0.73,0.0750674
91,0.176,0.73,0.0750674
92,0.176,0.73,0.0750674
93,0.176,0.73,0.0750674
94,0.176,0.73,0.0750674
95,0.176,0.73,0.0750674
96,0.176,0.73,0.0750674
97,0.176,0.73,0.0750674
98,0.176,0.73,0.0750674
99,0.176,0.73,0.0750674
100,0.176,0.73,0.0750674
