age_grp5,est,lower,upper,mid_age
"[15,20)",0.604542807,0.580961621,0.627765994,16
"[20,25)",0.538757207,0.524352656,0.553113391,23
"[25,30)",0.450384615,0.439299444,0.461506884,27
"[30,35)",0.391304348,0.380148966,0.402545621,33
"[35,40)",0.381192421,0.368618207,0.393887243,37
"[40,45)",0.389731051,0.374745879,0.404873919,43
"[45,50)",0.390508685,0.373619038,0.407597222,47
"[50,55)",0.398002305,0.379129806,0.41710456,53
"[55,60)",0.387216304,0.366602372,0.408136917,57
"[60,65)",0.432808717,0.408751304,0.45710529,63
"[65,70)",0.454482279,0.428523637,0.480627095,67
"[70,75)",0.515174507,0.487805685,0.542475524,73
"[75,80)",0.580618212,0.552076367,0.608763005,77
"[80,85)",0.646978022,0.611034484,0.68172492,83
"[85,90)",0.672413793,0.620354927,0.721508141,87
"[90,95)",0.65,0.535203115,0.753328064,93
"[95,100)",0.666666667,0.471879955,0.827125778,97
"[100,105)",0.8,0.283582064,0.994949237,103
"[105,110)",1,0.397635364,1,107
