year,risk,test,result
1,0.0009509,QuantiFERON,negative
2,0.001251299,QuantiFERON,negative
3,0.001439248,QuantiFERON,negative
4,0.001574988,QuantiFERON,negative
5,0.001682616,QuantiFERON,negative
1,0.024264852,QuantiFERON,positive
2,0.031758505,QuantiFERON,positive
3,0.036331435,QuantiFERON,positive
4,0.039652847,QuantiFERON,positive
5,0.042306555,QuantiFERON,positive
1,0.000951284,T-SPOT.TB,negative
2,0.001253277,T-SPOT.TB,negative
3,0.001435748,T-SPOT.TB,negative
4,0.001570405,T-SPOT.TB,negative
5,0.001677169,T-SPOT.TB,negative
1,0.024050992,T-SPOT.TB,positive
2,0.031869688,T-SPOT.TB,positive
3,0.036373938,T-SPOT.TB,positive
4,0.039773371,T-SPOT.TB,positive
5,0.042407932,T-SPOT.TB,positive
